                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2433,                 4.9812,                 1.7273,                0.00211,                0.52937,                0.03019,                 0.0124,                 1.7749,                 4.4458,                 1.3638,              0.0002625,              0.0002625,              0.0002625
                      1,                  1.853,                 2.9291,                  1.347,                0.00172,                0.53169,                0.03119,                0.01272,                 1.8371,                 4.4954,                 1.4663,             0.00053573,             0.00053573,             0.00053573
                      2,                 1.8124,                 2.5371,                 1.3271,                0.00235,                0.66543,                0.13328,                0.05913,                 1.7949,                 3.9304,                 1.3711,             0.00080714,             0.00080714,             0.00080714
                      3,                 1.8209,                 2.3042,                 1.3409,                0.00237,                0.39055,                0.08894,                0.03757,                 1.9206,                 3.9748,                 1.5298,              0.0010767,              0.0010767,              0.0010767
                      4,                 1.8099,                 2.1802,                  1.326,                0.50097,                0.04136,                0.10939,                0.04472,                 2.0212,                 3.2973,                 1.4993,              0.0012335,              0.0012335,              0.0012335
                      5,                 1.8215,                 2.0099,                 1.3475,                0.28983,                0.04977,                0.11782,                0.05464,                 2.0311,                 3.6082,                 1.6397,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.7897,                  1.867,                 1.3298,                0.25451,                0.26469,                0.20904,                0.09565,                 1.9263,                 2.0503,                 1.4476,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.8003,                 1.8181,                 1.3478,                 0.4297,                 0.2908,                0.19217,                0.07969,                 2.0284,                 2.0913,                 1.5365,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.7739,                 1.7186,                 1.3226,                0.30664,                0.45149,                0.30441,                 0.1433,                 1.8371,                 1.6428,                 1.3648,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.7884,                 1.6954,                 1.3299,                0.29271,                0.32549,                0.22714,                0.10349,                 1.8774,                 2.4109,                   1.37,               0.001217,               0.001217,               0.001217
                     10,                 1.7504,                 1.6312,                  1.306,                0.15703,                0.37346,                0.26724,                0.12021,                 1.8568,                 2.1093,                 1.4181,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.7538,                 1.6101,                 1.3114,                0.45004,                0.34695,                0.30803,                 0.1426,                 1.8853,                 1.6994,                 1.4165,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.7488,                 1.5865,                 1.3069,                0.48973,                0.40936,                0.33977,                0.15768,                 1.8129,                 2.0231,                 1.4041,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.7553,                 1.5529,                 1.3064,                0.38752,                 0.4249,                0.35313,                0.17113,                 1.7769,                 1.5682,                 1.3498,              0.0012005,              0.0012005,              0.0012005
                     14,                  1.728,                 1.5179,                 1.2909,                0.33757,                0.48306,                0.41626,                0.19755,                 1.7779,                  1.506,                 1.3509,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.6927,                  1.501,                 1.2942,                0.42851,                0.49485,                 0.3724,                0.18278,                 1.8021,                 1.6284,                 1.3379,              0.0011922,              0.0011922,              0.0011922
                     16,                  1.711,                 1.4619,                 1.2887,                0.36533,                0.49187,                0.38765,                0.17956,                 1.8228,                  1.521,                 1.3568,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.7046,                 1.4334,                 1.2712,                0.44117,                0.48594,                 0.4385,                0.19387,                 1.8137,                 1.5388,                 1.3484,               0.001184,               0.001184,               0.001184
                     18,                 1.7101,                  1.431,                 1.2896,                  0.572,                0.45064,                0.51033,                0.25201,                 1.7616,                 1.3953,                 1.3713,              0.0011799,              0.0011799,              0.0011799
                     19,                  1.698,                 1.3814,                 1.2826,                0.57608,                0.34387,                0.32087,                0.13296,                 1.9114,                 1.8409,                  1.434,              0.0011757,              0.0011757,              0.0011757
                     20,                  1.673,                 1.3317,                 1.2683,                0.52965,                0.49139,                 0.4768,                0.22225,                 1.8096,                 1.4698,                 1.3484,              0.0011716,              0.0011716,              0.0011716
                     21,                  1.691,                 1.3325,                 1.2625,                0.62494,                0.49163,                0.51413,                0.24895,                 1.7934,                 1.4121,                 1.3691,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.6819,                 1.3177,                 1.2647,                0.56804,                0.46245,                0.46379,                0.21329,                 1.7815,                 1.4394,                 1.3514,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.6745,                 1.2802,                 1.2664,                 0.6354,                0.48157,                0.53715,                0.27266,                  1.784,                 1.3447,                 1.3294,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.6675,                  1.309,                  1.259,                0.45895,                0.51483,                0.53944,                0.25157,                 1.9335,                 1.3785,                 1.4512,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.6859,                 1.2456,                 1.2736,                 0.2703,                 0.5208,                0.44938,                0.19858,                 1.8429,                  1.411,                  1.408,               0.001151,               0.001151,               0.001151
                     26,                  1.675,                 1.2435,                 1.2629,                0.43773,                0.53551,                0.44944,                0.21569,                 1.7575,                  1.403,                 1.3554,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.6587,                 1.2572,                 1.2644,                0.45294,                0.51605,                0.47612,                0.22072,                 1.8842,                 1.3977,                 1.4535,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.6248,                 1.2022,                 1.2468,                0.60601,                0.57448,                0.63316,                0.32801,                 1.6999,                 1.1391,                 1.3253,              0.0011386,              0.0011386,              0.0011386
                     29,                  1.621,                 1.1664,                 1.2454,                0.63853,                0.54022,                0.57017,                0.28565,                 1.7461,                 1.2222,                  1.297,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.6237,                 1.1725,                 1.2429,                0.62057,                0.58726,                0.56449,                0.27663,                 1.8162,                 1.2997,                 1.3459,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.6295,                 1.1461,                 1.2366,                0.59365,                0.56691,                 0.5695,                0.28254,                 1.7873,                 1.2396,                 1.3306,              0.0011263,              0.0011263,              0.0011263
                     32,                  1.595,                   1.11,                   1.23,                0.64067,                 0.6282,                0.65825,                 0.3388,                  1.774,                 1.2179,                 1.3195,              0.0011221,              0.0011221,              0.0011221
                     33,                 1.6079,                 1.1236,                 1.2278,                0.63958,                0.57037,                0.59184,                0.29108,                 1.7281,                 1.3099,                 1.3188,               0.001118,               0.001118,               0.001118
                     34,                 1.6258,                 1.1267,                 1.2348,                0.71612,                0.52869,                0.63441,                 0.3123,                 1.7435,                 1.0833,                 1.3186,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.6175,                 1.1068,                 1.2253,                0.62503,                0.56545,                 0.6199,                0.32153,                 1.7976,                 1.2059,                 1.3399,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.6009,                 1.0785,                 1.2271,                0.68695,                0.63965,                0.72307,                0.36612,                 1.7521,                 1.0504,                 1.3514,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.6144,                 1.0575,                   1.22,                0.64126,                0.56515,                0.60619,                0.30165,                 1.7411,                 1.2329,                 1.2988,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.5889,                 1.0322,                 1.2173,                0.63079,                0.66894,                 0.6555,                0.31644,                 1.7311,                  1.177,                 1.3255,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.5897,                 1.0629,                 1.2122,                0.75825,                0.58661,                0.64756,                0.32996,                 1.7841,                 1.1073,                 1.3618,              0.0010933,              0.0010933,              0.0010933
                     40,                  1.575,                 1.0219,                 1.2117,                0.56967,                0.53719,                0.56382,                0.28365,                 1.8025,                 1.2831,                 1.3403,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.5934,                 1.0163,                 1.2223,                0.61024,                0.54405,                0.59483,                0.31301,                 1.8397,                 1.2283,                 1.3972,               0.001085,               0.001085,               0.001085
